name,year_level,room_number,teacher
Prep A,Prep,101,Handsome Pete
Prep B,Prep,102,Joey Jo-Jo
Prep C,Prep,103,Guy Incognito
1A,1,104,L.T. Smash
1B,1,105,Leopold
1C,1,106,Poochie
2A,2,107,Frank Grimes Jr.
2B,2,108,The Yes Guy
2C,2,109,Üter Zörker
3A,3,110,Coach Lugash
3B,3,111,Ruth Powers
3C,3,112,Sam
4A,4,113,Larry
4B,4,114,Disco Stu
4C,4,115,The Rich Texan
5A,5,116,Lindsey Naegle
5B,5,117,Cookie Kwan
5C,5,118,Squeaky-Voiced Teen
6A,6,119,Scott Christian
6B,6,120,Doris Freedman
6C,6,121,Mindy Simmons
